"","latitude","longitude","depth","mb","name","source","Country","datetime","max_yield","medium","confirmation","salvo"
"80",-21.935,-138.917,0,4.65,"Licorne","AWE-JED","France","7/3/1970 6:30:00 PM",1000,"Air","confirmed",0
"81",-22,-139,0,NA,"Pegase","CEA/DAM","France","7/27/1970 7:00:00 PM",20,"Air","confirmed",0
"82",-22,-139,0,NA,"Orion","CEA/DAM","France","8/2/1970 7:00:00 PM",200,"Air","confirmed",0
"83",-22,-139,0,NA,"Toucan","CEA/DAM","France","8/6/1970 7:00:00 PM",1000,"Air","confirmed",0
"84",-22,-139,0,NA,"Dione","CEA/DAM","France","6/5/1971 7:15:00 PM",200,"Air","confirmed",0
"85",-23.8,-137.2,0,NA,"Encelade","ISC","France","6/12/1971 7:14:57 PM",1000,"Air","confirmed",0
"86",-22,-139,0,NA,"Japet","CEA/DAM","France","7/4/1971 9:30:00 PM",20,"Air","confirmed",0
"87",-22,-139,0,NA,"Phoebe","CEA/DAM","France","8/8/1971 6:30:00 PM",20,"Air","confirmed",0
"88",-21.823,-138.976,0,4.65,"Rhea","AWE-JED","France","8/14/1971 7:00:01 PM",1000,"Air","confirmed",0
"89",-22,-139,0,NA,"Umbriel","CEA/DAM","France","6/25/1972 7:00:00 PM",20,"Air","confirmed",0
"90",-22,-139,0,NA,"Titania","CEA/DAM","France","6/30/1972 6:30:00 PM",20,"Air","confirmed",0
"91",-22,-139,0,NA,"Oberon","CEA/DAM","France","7/27/1972 6:40:00 PM",20,"Air","confirmed",0
"92",-22,-139,0,NA,"Euterpe","CEA/DAM","France","7/21/1973 6:00:00 PM",20,"Air","confirmed",0
"93",-22,-139,0,NA,"Melpomene","CEA/DAM","France","7/28/1973 11:00:00 PM",20,"Air","confirmed",0
"94",-22,-139,0,NA,"Pallas","CEA/DAM","France","8/18/1973 6:15:00 PM",20,"Air","confirmed",0
"95",-22,-139,0,NA,"Parthenope","CEA/DAM","France","8/24/1973 6:00:00 PM",20,"Air","confirmed",0
"96",-22,-139,0,NA,"Tamara","CEA/DAM","France","8/28/1973 6:30:00 PM",20,"Air","confirmed",0
"97",-22,-139,0,NA,"Capricorne","CEA/DAM","France","6/16/1974 5:30:00 PM",20,"Air","confirmed",0
"98",-22,-139,0,NA,"Gemeaux","CEA/DAM","France","7/7/1974 11:15:00 PM",1000,"Air","confirmed",0
"99",-22,-139,0,NA,"Centaure","CEA/DAM","France","7/17/1974 5:00:00 PM",20,"Air","confirmed",0
"100",-22,-139,0,NA,"Maquis","CEA/DAM","France","7/25/1974 5:30:00 PM",20,"Air","confirmed",0
"101",-22,-139,0,NA,"Scorpion","CEA/DAM","France","8/15/1974 12:30:00 AM",200,"Air","confirmed",0
"102",-22,-139,0,NA,"Taurue","CEA/DAM","France","8/24/1974 11:45:00 PM",20,"Air","confirmed",0
"103",-22,-139,0,NA,"Verseau","CEA/DAM","France","9/14/1974 11:30:00 PM",1000,"Air","confirmed",0
"104",-22,-139,0,NA,"Achille","CEA/DAM","France","6/5/1975 6:15:00 PM",5,"Underground","confirmed",0
"105",-22,-139,0,NA,"Hector","CEA/DAM","France","11/26/1975 12:48:00 AM",20,"Underground","confirmed",0
"106",-22,-139,0,NA,"Patrocle","CEA/DAM","France","4/3/1976 5:07:00 PM",5,"Underground","confirmed",0
"107",-21.863,-138.786,0,4.93,"Menelas","AWE-JED","France","7/11/1976 12:30:01 AM",20,"Underground","confirmed",0
"108",-22,-139,0,NA,"Ulysse_A","CEA/DAM","France","10/30/1976 10:59:59 PM",5,"Underground","confirmed",0
"109",-22,-139,0,NA,"Astanax","CEA/DAM","France","12/5/1976 11:00:00 PM",5,"Underground","confirmed",0
"110",-21.84,-138.848,0,5.02,"Ulysse_B","AWE-JED","France","2/19/1977 11:30:00 PM",20,"Underground","confirmed",0
"111",-21.887,-138.92,0,5.92,"Nestor","AWE-JED","France","3/19/1977 11:01:00 PM",150,"Underground","confirmed",0
"112",-22,-139,0,NA,"Oedipe","CEA/DAM","France","4/2/1977 11:30:00 PM",5,"Underground","confirmed",0
"113",-21.783,-138.96,0,4.81,"Ajax","AWE-JED","France","7/6/1977 11:00:00 PM",20,"Underground","confirmed",0
"114",-22,-139,0,NA,"Oreste","CEA/DAM","France","11/12/1977 1:30:00 AM",5,"Underground","confirmed",0
"115",-21.884,-138.886,0,5.86,"Enee","AWE-JED","France","11/24/1977 5:00:00 PM",150,"Underground","confirmed",0
"116",-22,-139,0,NA,"Laocoon","CEA/DAM","France","12/17/1977 10:00:00 PM",5,"Underground","confirmed",0
"117",-22,-139,0,NA,"Polypheme","CEA/DAM","France","2/27/1978 11:00:00 PM",5,"Underground","confirmed",0
"118",-21.705,-138.934,0,4.73,"Pylade","AWE-JED","France","3/22/1978 5:30:00 PM",5,"Underground","confirmed",0
"119",-22,-139,0,NA,"Hecube","CEA/DAM","France","3/25/1978 5:30:00 PM",5,"Underground","confirmed",0
"120",-22,-139,0,NA,"Xanthois","CEA/DAM","France","7/1/1978 5:00:00 PM",5,"Underground","confirmed",0
"121",-22,-139,0,NA,"Ares","CEA/DAM","France","7/19/1978 6:00:00 PM",20,"Underground","confirmed",0
"122",-22,-139,0,NA,"Idomenee","CEA/DAM","France","7/26/1978 11:00:00 PM",5,"Underground","confirmed",0
"123",-22,-139,0,NA,"Schedios","CEA/DAM","France","11/2/1978 6:00:00 PM",5,"Underground","confirmed",0
"124",-21.868,-138.95,0,5.86,"Priam","AWE-JED","France","11/30/1978 5:32:00 PM",150,"Underground","confirmed",0
"125",-22,-139,0,NA,"Eteocle","CEA/DAM","France","12/17/1978 6:04:00 PM",5,"Underground","confirmed",0
"126",-21.768,-138.934,0,5.01,"Eumee","AWE-JED","France","12/19/1978 4:57:01 PM",20,"Underground","confirmed",0
"127",-22,-139,0,NA,"Penthesilee","CEA/DAM","France","3/1/1979 5:24:00 PM",20,"Underground","confirmed",0
"128",-22,-139,0,NA,"Philoctete","CEA/DAM","France","3/9/1979 4:37:00 PM",20,"Underground","confirmed",0
"129",-21.806,-138.933,0,4.93,"Agapenor","AWE-JED","France","3/24/1979 4:28:00 PM",20,"Underground","confirmed",0
"130",-21.85,-138.702,0,4.69,"Polydore","AWE-JED","France","4/4/1979 6:07:00 PM",20,"Underground","confirmed",0
"131",-21.81,-138.809,0,4.71,"Pyrrhos","AWE-JED","France","6/18/1979 11:27:01 PM",20,"Underground","confirmed",0
"132",-21.818,-138.903,0,5.21,"Egisthe","AWE-JED","France","6/29/1979 6:56:00 PM",150,"Underground","confirmed",0
"133",-21.88,-138.94,0,6.11,"Tydee","AWE-JED","France","7/25/1979 5:57:00 PM",150,"Underground","confirmed",0
"134",-21.809,-138.812,0,4.73,"Palamede","AWE-JED","France","7/28/1979 7:56:00 PM",5,"Underground","confirmed",0
"135",-22,-139,0,NA,"Chrysotemis","CEA/DAM","France","11/19/1979 5:53:00 PM",5,"Underground","confirmed",0
"136",-22,-139,0,NA,"Atree","CEA/DAM","France","11/22/1979 7:14:13 PM",5,"Underground","confirmed",0
"137",-22,-139,0,NA,"Thysets","CEA/DAM","France","2/23/1980 6:03:00 PM",5,"Underground","confirmed",0
"138",-22,-139,0,NA,"Adraste","CEA/DAM","France","3/3/1980 5:56:00 PM",5,"Underground","confirmed",0
"139",-21.861,-138.939,0,5.63,"Thesee","AWE-JED","France","3/23/1980 7:37:00 PM",150,"Underground","confirmed",0
"140",-21.845,-138.758,0,5.05,"Boros","AWE-JED","France","4/1/1980 7:31:00 PM",20,"Underground","confirmed",0
"141",-21.921,-138.799,0,4.3,"Pelpos","AWE-JED","France","4/4/1980 6:33:00 PM",20,"Underground","confirmed",0
"142",-21.87,-138.899,0,5.3,"Eurypyle","AWE-JED","France","6/16/1980 6:27:00 PM",150,"Underground","confirmed",0
"143",-22,-139,0,NA,"Ilus","CEA/DAM","France","6/21/1980 5:01:00 PM",20,"Underground","confirmed",0
"144",-21.849,-138.848,0,4.54,"Chryses","AWE-JED","France","7/6/1980 5:27:01 PM",20,"Underground","confirmed",0
"145",-21.861,-138.934,0,5.73,"Asios","AWE-JED","France","7/19/1980 11:47:00 PM",150,"Underground","confirmed",0
"146",-22,-139,0,NA,"Laerte","CEA/DAM","France","11/25/1980 5:53:00 PM",5,"Underground","confirmed",0
"147",-21.875,-138.939,0,5.58,"Diomede","AWE-JED","France","12/3/1980 5:33:00 PM",150,"Underground","confirmed",0
"148",-22,-139,0,NA,"Broteas","CEA/DAM","France","2/27/1981 11:28:00 PM",5,"Underground","confirmed",0
"149",-22,-139,0,NA,"Tyro","CEA/DAM","France","3/6/1981 5:27:00 PM",5,"Underground","confirmed",0
"150",-21.79,-138.678,0,4.75,"Iphicles","AWE-JED","France","3/28/1981 5:23:01 PM",20,"Underground","confirmed",0
"151",-21.795,-138.946,0,4.76,"Clymene","AWE-JED","France","4/10/1981 5:57:01 PM",20,"Underground","confirmed",0
"152",-21.791,-139.046,0,5.14,"Lyncee","AWE-JED","France","7/8/1981 10:23:00 PM",20,"Underground","confirmed",0
"153",-22,-139,0,NA,"Eryx","CEA/DAM","France","7/11/1981 5:17:00 PM",5,"Underground","confirmed",0
"154",-22,-139,0,NA,"Theras","CEA/DAM","France","7/18/1981 5:43:00 PM",5,"Underground","confirmed",0
"155",-21.824,-138.903,0,5.09,"Agenor","AWE-JED","France","8/3/1981 6:33:00 PM",150,"Underground","confirmed",0
"156",-22,-139,0,NA,"Leto","CEA/DAM","France","11/6/1981 5:03:00 PM",5,"Underground","confirmed",0
"157",-21.856,-138.954,0,4.71,"Procles","AWE-JED","France","11/11/1981 5:07:00 PM",20,"Underground","confirmed",0
"158",-21.685,-138.933,0,4.68,"Cilix","AWE-JED","France","12/5/1981 4:58:01 PM",20,"Underground","confirmed",0
"159",-21.797,-138.927,0,5.14,"Cadmos","AWE-JED","France","12/8/1981 4:47:00 PM",20,"Underground","confirmed",0
"160",-22,-139,0,NA,"Aerope","CEA/DAM","France","2/20/1982 5:33:00 PM",5,"Underground","confirmed",0
"161",-22,-139,0,NA,"Deiphobe","CEA/DAM","France","2/24/1982 6:15:00 PM",5,"Underground","confirmed",0
"162",-21.846,-138.868,0,4.96,"Rhesos","AWE-JED","France","3/20/1982 5:03:00 PM",20,"Underground","confirmed",0
"163",-22,-139,0,NA,"Evevos","CEA/DAM","France","3/23/1982 5:07:00 PM",5,"Underground","confirmed",0
"164",-22,-139,0,NA,"Laodice","CEA/DAM","France","6/27/1982 5:00:00 PM",5,"Underground","confirmed",0
